KEGG,Human Metabolome Database,InChIKey,Score
"C04685","No result","BGKHCLZFGPIKKU-BGEXMHJYSA-N","1"
"C05953","No result","MYHXHCUNDDAEOZ-FOSBLDSVSA-N","1"
"C00959","HMDB0002982","YBHMPNRDOVPQIN-VSOYFRJCSA-N","1"
"C05954","No result","PRFXRIUZNKLRHM-HKVRTXJWSA-N","1"
"C04686","HMDB0060104","PUIBPGHAXSCVRF-QHFGJBOXSA-N","1"
"C05955","HMDB0060095","CMBOTAQMTNMTBD-KLASNZEFSA-N","1"
"C06438","HMDB0005102","CIMMACURCPXICP-PNQRDDRVSA-N","1"
"C00696","HMDB0001403","BHMBVRSPMRCCGG-OUTUXVNYSA-N","1"
"C04741","HMDB0001442","GMVPRGQOIOIIMI-DWKJAMRDSA-N","1"
"C00584","HMDB0001220","XEYBRNLFEZDVAW-ARSRFYASSA-N","1"
"C06439","HMDB0002664","CBOMORHDRONZRN-QLOYDKTKSA-N","1"
"C06475","HMDB0002685","DZUXGQBLFALXCR-CDIPTNKSSA-N","1"
"C00639","No result","PXGPLTODNUVGFL-YNNPMVKQSA-N","1"
"C02314","HMDB0001483","PXGPLTODNUVGFL-JZFBHDEDSA-N","1"
"C06476","HMDB0002122","SAKGBZWJAIABSY-SAMSIYEGSA-N","1"
"C05956","HMDB0003235","SGUKUZOVHSFKPH-YNNPMVKQSA-N","1"
"C00427","HMDB0001381","YIBNHAJFJUQSRA-YNNPMVKQSA-N","1"
"C01312","HMDB0001335","KAQKFAOMNZTLHT-OZUDYXHBSA-N","1"
"C05957","HMDB0002710","UQOQENZZLBSFKO-POPPZSFYSA-N","1"
"C00909","HMDB0001337","UFPQIRYSPUYQHK-WAQVJNLQSA-N","1"
"C02165","HMDB0001085","VNYSSYRCGWBHLG-AMOLWHMGSA-N","1"
"C02166","HMDB0001198","GWNVDXQDILPJIG-NXOLIXFESA-N","1"
"C05951","No result","YEESKJGWJFYOOK-IJHYULJSSA-N","1"
"C05952","No result","OTZRAYGBFWZKMX-FRFVZSDQSA-N","1"
"C06462","HMDB0006465","PYSODLWHFWCFLV-VJBFNVCUSA-N","1"
"C05356","HMDB0001193","JNUUNUQHXIOFDA-JGKLHWIESA-N","1"
"C02198","HMDB0001452","DSNBHJFQCNUKMA-SCKDECHMSA-N","1"
"C05963","No result","XNRNNGPBEPRNAR-VTCRGFIFSA-N","1"
"C05964","No result","KJYIVXDPWBUJBQ-UHHGALCXSA-N","1"
"C00577","No result","MNQZXJOMYWMBOU-VKHMYHEASA-N","1"
"C02426","No result","MNQZXJOMYWMBOU-GSVOUGTGSA-N","1"
"C01796","HMDB0002649","FMAORJIQYMIRHF-HERZVMAMSA-N","1"
"C06463","No result","FMAORJIQYMIRHF-BCDHYOAOSA-N","1"
"C00216","No result","SRBFZHDQGSBBOR-ZRMNMSDTSA-N","1"
"C00259","HMDB0000646","SRBFZHDQGSBBOR-HWQSCIPKSA-N","1"
"C00181","HMDB0000098
HMDB0060254","SRBFZHDQGSBBOR-IOVATXLUSA-N","1"
"C01510","No result","HMFHBZSHGGEWLO-CZBDKTQLSA-N","1"
"C00476","No result","SRBFZHDQGSBBOR-AGQMPKSLSA-N","1"
"C01508","No result","SRBFZHDQGSBBOR-AEQNFAKKSA-N","1"
"C00121","HMDB0000283","HMFHBZSHGGEWLO-SOOFDHNKSA-N","1"
"C00031","HMDB0000122","WQZGKKKJIJFFOK-GASJEMHNSA-N","1"
"C00124","No result","WQZGKKKJIJFFOK-SVZMEOIVSA-N","1"
