KEGG,Human Metabolome Database,InChIKey,Score
C00206,No result,DAEAPNUQQAICNR-RRKCRQDMSA-N,1
C00943,No result,DMJWGQPYNRPLGA-KQYNXXCUSA-N,1
C00968,No result,MKMZAENVDZADSW-RRKCRQDMSA-N,1
C02507,No result,YAUQFBMBBHFWIR-KVQBGUIXSA-N,1
C00941,No result,WCPTXJJVVDAEMW-XVFCMESISA-N,1
C02353,No result,KMYWVDDIPVNLME-KQYNXXCUSA-N,1
C02354,No result,NMPZCCZXCOMSDQ-XVFCMESISA-N,1
C00993,No result,DEFJQIDDEAULHB-SYPWQXSBSA-N,1
C16138,No result,ZFOMKMMPBOQKMC-KXUCPTDWSA-N,1
C00155,No result,FFFHZYDWPBMWHY-VKHMYHEASA-N,1
C06417,No result,KZSNJWFQEVHDMF-SCSAIBSYSA-N,1
C06418,No result,AGPKZVBTJJNPAG-RFZPGFLSSA-N,1
C00820,No result,AYFVYJQAPQTCCC-STHAYSLISA-N,1
C00855,No result,FFEARJCKVFRZRR-SCSAIBSYSA-N,1
C06419,No result,HNDVDQJCIGZPNO-RXMQYKEDSA-N,1
C02265,No result,COLNVLDHVKWLRT-MRVPVSSYSA-N,1
C06420,No result,OUYCCCASQSFEME-MRVPVSSYSA-N,1
C01420,No result,LEVWYRKDKASIDU-UHFFFAOYSA-N,1
C03145,No result,PYUSHNKNPOHWEZ-YFKPBYRVSA-N,1
C03194,No result,HXKKHQJGJAFBHI-GSVOUGTGSA-N,1
C05443,No result,QYSXJUFSXHHAJI-YRZJJWOYSA-N,1
C00828,No result,PTWSIIUEOFZCHW-NTCAYCPXSA-N,1
C00864,No result,GHOKWGTUZJEAQD-ZETCQYMHSA-N,1
C00072,No result,CIWBSHSKHKDKBQ-JLAZNSOCSA-N,1
C00010,No result,RGJOEKWQDUBAIZ-IBOSZNHHSA-N,1
C00101,No result,MSTNYGQPCMXVAQ-KIYNQFGBSA-N,1
C00194,No result,ZIHHMGTYZOSFRC-QRVZQHAISA-L,1
C00019,No result,MEFKEPWMEQBLKI-AIRLBKTGSA-N,1
C00029,No result,HSCJRCZFDFQWRP-JZMIEXBBSA-N,1
C04628,No result,JBJSVEVEEGOEBZ-SCZZXKLOSA-N,1
C05777,No result,XLFIRMYGVLUNOY-SXMZNAGASA-M,1
C11378,No result,ACTIUHUUMQJHFO-UPTCCGCDSA-N,1
C00862,No result,CKRUWFDORAQSRC-HDLCADABSA-N,1
C15670,No result,ZGGYGTCPXNDTRV-ONCSLILDSA-L,1
C00032,No result,KABFMIBPWCXCRK-RGGAHWMASA-L,1
C00725,No result,AGBQKNBQESQNJD-UHFFFAOYSA-N,1
C18237,No result,HDAJUGGARUFROU-JSUDGWJLSA-L,1
C14392,No result,WKRLQDKEXYKHJB-HFTRVMKXSA-N,1
C14303,No result,PDRGHUMCVRDZLQ-WMZOPIPTSA-N,1
C03935,No result,QZZRQURPSRWTLG-UXCAXZQLSA-N,1
C00523,No result,QGXBDMJGAMFCBF-HLUDHZFRSA-N,1
C15638,No result,DJTOLSNIKJIDFF-PHFHYRSDSA-N,1
C01227,No result,FMGSKLZLMKYGDP-USOAJAOKSA-N,1
C01953,No result,ORNBQBCIOKFOEO-QGVNFLHTSA-N,1
C01780,No result,PQSUYGKTWSAVDQ-ZVIOFETBSA-N,1
C00735,No result,JYGXADMDTFJGBT-VWUMJDOOSA-N,1
C08859,No result,XQCGNURMLWFQJR-ZNDDOCHDSA-N,1
C08866,No result,LKRDZKPBAOKJBT-CNPIRKNPSA-N,1
C08876,No result,VPUNMTHWNSJUOG-BAOINKAISA-N,1
C06956,No result,LTMHDMANZUZIPE-PUGKRICDSA-N,1
C03990,No result,SMEROWZSTRWXGI-HVATVPOCSA-N,1
C07880,No result,RUDATBOHQWOJDD-UZVSRGJWSA-N,1
C01921,No result,RFDAIACWWDREDC-FRVQLJSFSA-N,1
C05122,No result,FZLMIZAHBFKTSH-IECFWMJSSA-N,1
C15517,No result,DGABKXLVXPYZII-SIBKNCMHSA-N,1
C03070,No result,KIQFUORWRVZTHT-HSYHYESFSA-N,1
C08868,No result,DCSLTSSPIJWEJN-YRFFWODSSA-N,1
C17058,No result,ATLJNLYIJOCWJE-NEKURZDCSA-N,1
C16922,No result,QEEBRPGZBVVINN-BMPKRDENSA-N,1
C16923,No result,VOZHMAYHYHEWBW-NVOOAVKYSA-N,1
C16931,No result,SCULJPGYOQQXTK-OLRINKBESA-N,1
C16932,No result,KBKUJJFDSHBPPA-JTZFMNKUSA-N,1
C16962,No result,FMTLOAVOGWSPEF-KJRPADTMSA-N,1
C16969,No result,TVKPTWJPKVSGJB-XHCIOXAKSA-N,1
C17072,No result,PBSOJKPTQWWJJD-ZBDZJSKLSA-N,1
C12816,No result,MYEJFUXQJGHEQK-ALRJYLEOSA-N,1
C19643,No result,OVUOVMIMOCJILI-XFPCGWMYSA-N,1
C08880,No result,LSMIOFMZNVEEBR-ICLSSMQGSA-N,1
C15337,No result,UIMGHSAOLFTOBF-DPAQBDIFSA-N,1
C00187,No result,HVYWMOMLDIMFJA-DPAQBDIFSA-N,1
C00477,No result,UPEZCKBFRMILAV-JMZLNJERSA-N,1
C08896,No result,COVOPPXLDJVUSC-JPYPKGSXSA-N,1
C08898,No result,WQLVFSAGQJTQCK-VKROHFNGSA-N,1
C08899,No result,FWCXELAAYFYCSR-RYKNUXCGSA-N,1
C08914,No result,GMBQZIIUCVWOCD-MFRNJXNGSA-N,1
C04715,No result,NELZMZLNTYWIPD-MLBSDYKWSA-N,1
C19648,No result,IQDKIMJGXXRZGR-MEBFULDVSA-N,1
C19649,No result,IQDKIMJGXXRZGR-WZEVQZNYSA-N,1
C19650,No result,IQDKIMJGXXRZGR-HUEIYZRMSA-N,1
C19651,No result,ARYTXMNEANMLMU-OZEQXKMUSA-N,1
C19652,No result,AWYDNKRGSOPYQB-ZHYOCZQLSA-N,1
C01694,No result,DNVPQKQSNYMLRS-APGDWVJJSA-N,1
C19653,No result,DNVPQKQSNYMLRS-YAPGYIAOSA-N,1
C08814,No result,IXVMHGVQKLDRKH-KNBKMWSGSA-N,1
C15787,No result,ARYTXMNEANMLMU-QAVKNOIRSA-N,1
C01789,No result,SGNBVLSWZMBQTH-PODYLUTMSA-N,1
C08817,No result,OSELKOCHBMDKEJ-JUGJNGJRSA-N,1
C19644,No result,LGJMUZUPVCAVPU-HRJGVYIJSA-N,1
C08836,No result,HCXVJBMSMIARIN-KEJCWXRGSA-N,1
C19657,No result,BCSYINLZVJHZSJ-QZLDXEKESA-N,1
C19655,No result,YRPMZHRSQIFCLR-PVNJCSFGSA-N,1
C19656,No result,WIHVWOTVUSDCRF-LYBIKMEUSA-N,1
C00746,No result,XNOPRXBHLZRZKH-DSZYJQQASA-N,1
C13662,No result,KBZOIRJILGZLEJ-UHFFFAOYSA-N,1
C11684,No result,YFGBQHOOROIVKG-FKBYEOEOSA-N,1
C06865,No result,BBBFJLBPOGFECG-UHFFFAOYSA-N,1
C13523,No result,ANGOYYXZZUIXIX-UHFFFAOYSA-N,1
C05291,No result,RNCGWYKXAJCOLD-LYPURALISA-N,1
C01227,No result,FMGSKLZLMKYGDP-USOAJAOKSA-N,1
C01953,No result,ORNBQBCIOKFOEO-QGVNFLHTSA-N,1
C05138,No result,JERGUCIJOXJXHF-BZXJGPHVSA-N,1
C00735,No result,JYGXADMDTFJGBT-VWUMJDOOSA-N,1
C05488,No result,WHBHBVVOGNECLV-OBQKJFGGSA-N,1
C05470,No result,SYGWGHVTLUBCEM-ZIZPXRJBSA-N,1
C05497,No result,LCZBQMKVFQNSJR-AVOSZYNGSA-N,1
C01780,No result,PQSUYGKTWSAVDQ-ZVIOFETBSA-N,1
C05490,No result,FUFLCEKSBBHCMO-UHFFFAOYSA-N,1
C00477,No result,UPEZCKBFRMILAV-JMZLNJERSA-N,1
C06566,No result,LXWBXEWUSAABOA-VXSYNFHWSA-N,1
C06664,No result,WKDDRNSBRWANNC-ATRFCDNQSA-N,1
C01941,No result,CTNZOGJNVIFEBA-UPSUJEDGSA-N,1
