PLATE,NROW,NCOL,CNAME,SMILES,FORMULA,MW (as put into the well),Formula (as seen in MS),Neutral mass,M+H,M-H,CHARGE,PARENT_CID(KEGG),CAS,CHEBI,HMDB,PC_CID,PC_SID,METLIN_ID
5,E,4,CATECHOL,C1=CC=C(C(=C1)O)O,C6H6O2,110.03678,C6H6O2,110.03678,111.04458,109.02898,,C00090,120-80-9,18135,HMDB00957,289,3390,282
5,E,5,"3,4-DIHYDROXYBENZOATE",C1=CC(=C(C=C1C(=O)O)O)O,C7H6O4,154.02661,C7H6O4,154.02661,155.03441,153.01881,,C00230,99-50-3,36062,HMDB01856,72,3529,6350
5,E,6,CYCLOPENTANONE,O=C1CCCC1,C5H8O,84.05752,C5H8O,84.05752,85.06532,83.04972,,C00557,120-92-3,16486,,8452,3837,65520
5,E,7,PANTOLACTONE,O=C1OCC(C)(C)[C@H]1O,C6H10O3,130.063,C6H10O3,130.06300,131.07080,129.05520,,C01012,599-04-2,16719,,439368,4257,65551
5,E,8,GUAIACOL,COC1=CC=CC=C1O,C7H8O2,124.05243,C7H8O2,124.05243,125.06023,123.04463,,C01502,90-05-1,28591,HMDB01398,460,4671,6271
5,E,9,2-HYDROXYPHENYLACETIC ACID,O=C(O)C(O)c1ccccc1,C8H8O3,152.04734,C8H8O3,152.04734,153.05514,151.03954,,CA1444,611-71-2,17656,,11914,5080,5671
5,E,10,10-HYDROXYDECANOATE,O=C(O)CCCCCCCCCO,C10H20O3,188.14125,C10H20O3,188.14125,189.14905,187.13345,,C02774,1679-53-4,17409,,74300,5726,
5,E,11,"1,2-DIDECANOYL-SN-GLYCERO-3-PHOSPHOCHOLINE",C[N+](C)(C)CCOP([O-])(=O)OC[C@@H](COC(=O)CCCCCCCCC)OC(=O)CCCCCCCCC,C28H56NO8P,565.37436,C28H56NO8P,565.37436,566.38216,564.36656,,CA1375,3436-44-0,,,16219892,,45204
5,E,12,2-HYDROXYPYRIDINE,O=C1/C=C\C=C/N1,C5H5NO,95.03711,C5H5NO,95.03711,96.04491,94.02931,,C02502,142-08-5,16540,,8871,5514,65779
5,F,1,"3,4-DIHYDROXYPHENYLACETATE",C1=CC(=C(C=C1CC(=O)O)O)O,C8H8O4,168.04226,C8H8O4,168.04226,169.05006,167.03446,,C01161,102-32-9,41941,HMDB01336,547,4388,6170
